time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","135,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","135,00","0,86","0,00","0,00","-11,46","2,22","0,00"
"2,00","5,00","135,00","1,38","0,00","0,00","-22,92","3,14","0,00"
"3,00","5,00","135,00","1,63","0,00","0,00","-34,38","3,84","0,00"
"4,00","5,00","135,00","1,79","0,00","0,00","-45,84","4,43","0,00"
"5,00","5,00","135,00","1,95","0,00","0,00","-57,30","4,95","0,00"
"6,00","5,00","135,00","2,12","0,00","0,00","-60,73","4,62","0,00"
"7,00","5,00","135,00","2,20","0,00","0,00","-59,01","4,05","0,00"
"8,00","5,00","135,00","2,23","0,00","0,00","-59,01","3,40","0,00"
"9,00","5,00","135,00","2,24","0,00","0,00","-59,01","2,58","0,00"
"10,00","5,00","135,00","2,25","0,00","0,00","-59,01","1,49","0,00"
"11,00","5,00","135,00","2,25","0,00","0,00","-58,44","1,49","0,00"
"12,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"13,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"14,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"15,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"16,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"17,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"18,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"19,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
"20,00","5,00","135,00","2,24","0,00","0,00","-57,30","2,53","0,00"
